username,role
abrodkin,member
aescolar,maintainer
agata-ponitka,member
akredalen,member
alexsven,member
alwa-nordic,member
alxelax,member
anandh4805,member
Andrewpini,member
ardo-nordic,member
asbjornsabo,member
asmk-ot,member
AyturkDuzen,member
Balaklaka,member
carlescufi,maintainer
ChangNice,member
cvinayak,member
dipanjan115,member
dleach02,member
erwango,member
fnde-ot,member
fredrikdanebjer,member
Frodevan,member
guwa,member
HaavardRei,member
hermabe,member
HoZHel,member
ilhanates,member
ivaniushkov,member
jessiewang-nxp,member
jhedberg,member
JingsaiLu,member
joerchan,member
jrth,member
kedMertens,member
kimsekkelund,member
kjayanth76,member
KKopyscinski,member
koffes,member
kruithofa,member
ludvigsj,member
m-alperen-sener,member
MariuszSkamra,member
Matt-SiliconLabs,member
MaureenHelm,member
mia-ko,member
michal-narajowski,member
MicImbriani,member
microbuilder,member
mkarhumaa,member
mkasenberg,member
msmttchr,member
mtpr-ot,member
nashif,maintainer
niym-ot,member
NordicBuilder,member
omkar3141,member
PavelVPV,member
PerMac,member
PiChSwitz,member
pskhansen,member
rerickson1,member
rick1082,member
rlubos,member
runegrunnet,member
rymanluk,member
salvopit,member
smijovic-si,member
tejlmand,member
Thalley,member
theob-pro,member
thoh-ot,member
trond-snekvik,member
TTJO,member
UyenDuong,member
Vudentz,member
wdhpawa,member
wopu-ot,member
